# p0, p1, p2, p3, p4, resistivity (kohm.cm)
    2.3507,   26.1943,    0.8636,    7.7362,    4.2042,   10.1375
    2.3777,   23.3010,    0.9061,    8.3357,    4.2722,   13.5647
    2.1942,   27.1777,    0.9493,    8.4954,    4.3740,    9.2747
    2.4476,   23.3629,    0.8951,    7.7889,    4.1906,   13.4734
    2.1345,   17.0408,    0.9079,    8.6408,    3.7393,   32.2995
    2.2560,   17.3682,    0.9486,    8.7787,    3.5797,   30.4896
    2.2058,   20.8046,    0.9423,    8.6589,    4.2100,   18.2535
    2.1803,   22.1233,    0.9084,    7.4571,    4.5886,   15.5077
    2.3885,   23.9050,    0.8845,    8.6712,    4.2209,   12.7124
    2.1623,   23.2571,    0.8887,    8.3692,    3.6496,   13.6302
    2.1051,   23.8453,    0.9230,    8.2638,    3.7573,   12.7928
    2.2024,   16.5172,    0.9213,    7.3503,    3.5954,   35.5665
    2.2853,   17.2187,    0.9339,    8.8606,    3.7464,   31.2960
    2.3406,   26.1906,    0.9358,    8.8200,    4.1705,   10.1411
    2.3259,   19.4889,    0.8953,    7.5500,    4.5843,   21.8368
    2.0872,   25.4948,    0.9490,    8.1615,    3.9503,   10.8305
    2.3930,   18.5709,    0.9218,    9.0992,    4.3744,   25.0383
    2.2617,   16.2775,    0.9564,    8.5182,    3.7090,   37.2373
    2.2054,   28.0515,    0.8474,    7.6382,    4.1762,    8.6007
    2.1987,   24.6339,    0.9242,    7.4871,    3.7964,   11.7908
    2.4001,   21.6724,    0.9195,    7.8714,    4.1255,   16.3691
    2.2974,   18.5062,    0.9206,    8.4435,    3.9975,   25.2913
    2.3603,   16.4193,    0.9218,    8.7585,    3.8089,   36.2346
    2.2530,   31.5420,    0.9218,    7.9625,    4.2656,    6.5474
    2.3904,   26.0721,    0.8784,    8.3195,    4.3944,   10.2535
    2.2410,   22.9504,    0.8962,    8.2048,    3.6731,   14.1013
    2.2751,   23.9221,    0.9313,    8.5070,    4.1284,   12.6895
    2.1686,   25.2409,    0.9196,    7.8292,    3.6329,   11.1006
    2.3983,   25.8133,    0.8902,    8.6055,    4.4995,   10.5061
    2.3501,   27.8878,    0.9473,    7.9962,    4.1155,    8.7211
    2.3687,   28.3227,    0.8358,    7.8356,    3.8110,    8.4070
    2.4289,   23.2053,    0.8741,    8.4248,    4.5947,   13.7080
    2.3795,   22.0349,    0.9043,    8.4213,    4.4737,   15.6709
    2.1610,   28.9364,    0.9197,    7.7985,    3.9537,    7.9933
    2.4472,   24.0827,    0.9436,    8.1140,    4.4236,   12.4776
    2.1478,   22.3390,    0.9561,    8.0305,    4.0180,   15.1205
    2.2580,   17.8209,    0.9183,    8.1112,    4.3001,   28.2371
    2.2745,   22.7327,    0.9144,    8.3676,    4.2608,   14.4516
    2.0748,   26.8695,    0.9166,    7.5880,    3.7895,    9.5323
    2.2629,   21.7828,    0.9162,    7.7150,    3.7379,   16.1514
    2.3861,   21.2633,    0.9002,    8.5353,    3.8280,   17.2175
    2.2596,   16.8820,    0.9324,    8.8861,    3.7089,   33.2392
    2.4634,   27.7563,    0.9038,    8.3036,    4.2550,    8.8196
    2.4423,   22.6924,    0.8767,    8.1483,    4.0238,   14.5178
    2.1744,   15.0923,    0.9553,    8.8052,    3.8832,   47.6481
    2.2812,   19.3262,    0.8567,    7.6820,    4.1692,   22.3556
    2.1066,   18.6379,    0.9280,    7.7316,    4.2699,   24.7803
    2.3323,   27.9807,    0.9415,    9.1265,    4.6780,    8.6524
    2.1869,   15.9290,    0.9321,    8.7184,    3.7704,   39.8968
    2.3193,   29.1031,    0.9277,    8.8155,    4.4047,    7.8863
    2.3130,   23.7427,    0.8866,    8.1952,    4.4687,   12.9330
    2.3093,   27.0020,    0.8904,    9.2539,    4.3177,    9.4202
    2.1461,   25.4551,    0.9271,    8.6565,    4.0208,   10.8721
    2.2769,   26.2992,    0.9373,    8.5308,    4.4919,   10.0396
    2.2510,   27.7548,    0.9536,    8.2595,    4.3458,    8.8207
    2.0155,   20.2419,    0.9549,    7.7325,    4.1555,   19.6643
    2.0473,   18.6387,    0.9455,    8.4021,    3.9178,   24.7774
    2.2196,   19.6370,    0.9517,    7.9755,    4.3882,   21.3806
    2.1401,   15.2153,    0.9280,    8.3893,    3.9315,   46.3672
    2.3456,   26.6231,    0.9170,    8.3974,    4.7965,    9.7465
    2.2917,   27.3071,    0.9318,    7.8726,    4.1563,    9.1698
    2.2309,   21.4620,    0.9296,    8.9052,    4.5001,   16.7971
    2.2930,   25.6606,    0.8832,    7.5962,    3.6369,   10.6597
    2.2739,   22.0698,    0.9066,    7.8678,    4.2294,   15.6060
    2.1922,   27.4137,    0.9497,    8.4944,    3.8346,    9.0847
