Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.099,70.6934,0.9017,9.3934,3.9044,1.2085
2.0485,63.4165,0.9255,9.6429,3.7128,1.4977
2.2192,70.9168,0.9097,9.1121,4.3307,1.201
2.2218,65.1397,0.886,9.8879,3.8206,1.42
2.2466,67.621,0.9057,9.286,4.1077,1.3189
2.1947,60.3514,0.9094,9.8653,3.7336,1.6532
2.1763,65.8067,0.8874,9.7018,3.9872,1.3917
2.2283,68.5672,0.9145,9.0735,4.1936,1.2832
2.1018,74.3629,0.9168,9.1087,4.0106,1.0945
2.4707,67.5451,0.8806,10.0673,4.4923,1.3218
2.4588,61.6072,0.8776,10.2603,4.116,1.5865
2.2906,58.5667,0.8696,10.4985,4.0394,1.7558
2.213,60.1807,0.895,9.5922,3.6968,1.6626
2.1656,67.4844,0.8891,9.8243,4,1.3241
2.1595,72.2869,0.8797,9.8076,4.1717,1.1568
2.4151,64.8629,0.867,10.2407,3.7527,1.4321
2.1251,71.3154,0.9124,9.3191,3.9162,1.1879
2.1309,62.4934,0.9231,9.1133,3.6835,1.542
2.1639,64.049,0.8998,9.6551,3.8897,1.4684
2.1381,65.8054,0.886,9.7632,3.7138,1.3917
2.3668,59.3611,0.8517,10.7091,3.6731,1.7089
2.4096,70.1059,0.8839,9.8341,4.2814,1.2284
2.2196,60.0499,0.8909,9.5046,3.6241,1.6699
2.1916,58.8055,0.894,9.9283,3.5989,1.7415
2.3961,55.8786,0.8626,10.3959,3.794,1.9302
2.3152,61.4994,0.8865,9.8909,3.9608,1.5921
2.2311,55.805,0.8874,10.6058,3.7101,1.9354
2.2275,55.89,0.8684,10.2342,3.5341,1.9294
2.3502,68.0014,0.9081,9.3403,4.3753,1.3044
2.2268,60.612,0.8804,9.9157,3.544,1.639
2.3262,56.804,0.8857,9.8108,3.6117,1.8672
2.171,64.0238,0.8896,9.6421,3.8328,1.4696
2.3395,62.0617,0.8698,10.0363,4.0748,1.5634
2.249,60.8502,0.8816,10.0776,3.8689,1.6262
2.1458,68.2769,0.8857,9.6356,4.0527,1.294
2.3041,98.3114,0.8691,9.7351,4.0954,0.6394
2.3386,59.433,0.8845,9.9675,3.9244,1.7048
2.2235,59.5607,0.8963,9.8252,3.7832,1.6975
2.3462,56.9316,0.8767,9.7563,3.654,1.8588
2.1985,76.4022,0.8992,9.6513,3.8421,1.0383
2.2321,58.1503,0.8599,10.3373,3.8087,1.7811
2.1513,62.3066,0.8955,9.7682,3.828,1.5512
2.2182,61.3967,0.8817,10.3241,3.837,1.5974
2.444,66.5131,0.8776,10.1262,3.9562,1.3626
2.1529,70.9131,0.909,9.3058,3.8887,1.2011
2.2719,66.7696,0.8989,9.3585,4.2028,1.3523
2.1103,68.2967,0.9194,9.1874,3.9406,1.2933
2.3185,56.9411,0.8598,10.4654,3.8521,1.8582
2.1339,63.0648,0.9091,9.6902,3.8821,1.5143
2.273,59.9408,0.8914,9.996,3.849,1.676
2.3946,73.0788,0.879,10.058,4.0383,1.1324
2.1764,62.2739,0.8938,9.5197,3.7066,1.5528
2.1341,59.0263,0.9023,10.0821,3.6129,1.7284
2.1118,74.6503,0.9094,9.2378,4.0759,1.0863
2.3335,50.5555,0.8687,11.2358,3.5528,2.3673
2.1584,70.0174,0.9011,9.3727,3.9577,1.2315
2.1911,72.3318,0.8933,9.6957,3.9132,1.1554
2.1187,67.547,0.9157,9.0464,3.86,1.3217
2.3131,56.2694,0.8501,10.6466,3.8145,1.9032
2.1951,63.1082,0.8634,10.2882,3.8298,1.5122
2.2234,60.8496,0.8717,10.2087,3.8479,1.6262
2.2276,69.8425,0.9052,9.4074,4.3576,1.2376
2.2914,58.974,0.8645,10.5674,3.6466,1.7315
2.3577,69.1609,0.9068,9.4139,4.4888,1.2616
2.1431,67.0683,0.8882,9.6265,3.9745,1.3404
2.2206,62.9919,0.8979,9.4196,3.7546,1.5178
2.176,66.9838,0.9015,9.2167,3.9873,1.3437
2.2609,62.9194,0.8835,10.0104,3.684,1.5213
2.2478,66.7754,0.9023,9.3338,4.1058,1.352
2.3742,60.9105,0.878,9.9229,3.9771,1.623
2.1248,68.3324,0.907,9.1792,3.9633,1.2919
2.3629,61.019,0.8695,10.3659,3.664,1.6172
2.2747,68.637,0.8977,9.5688,4.2132,1.2807
2.2756,63.2179,0.8748,10.1381,3.5657,1.507
2.15,70.4135,0.9015,9.4979,3.8581,1.2179
2.0796,77.4237,0.9065,9.2631,4.2865,1.0119
2.1093,65.2791,0.9266,9.4443,3.9051,1.414
2.217,63.4293,0.8836,9.9528,4.087,1.497
2.3099,51.2386,0.8551,11.2631,3.6262,2.303
2.0457,76.2929,0.9324,8.8426,4.0397,1.0412
2.2935,70.3121,0.9063,9.265,4.4281,1.2214
2.1371,66.8204,0.9198,9.2803,4.0527,1.3502
2.2145,68.8141,0.9072,9.3503,4.1309,1.2742
2.0974,71.3049,0.9048,9.4467,4.004,1.1882
2.1324,60.7916,0.8636,10.3397,3.6936,1.6293
2.3127,63.572,0.9005,9.566,3.9445,1.4904
2.0872,71.0267,0.921,9.135,3.8434,1.1974
2.3766,57.908,0.8594,10.4607,3.9033,1.7962
2.1222,68.2114,0.9018,9.4309,4.0687,1.2965
2.2293,58.7673,0.8905,9.81,3.7259,1.7438
2.1864,62.9292,0.9023,9.6269,3.7944,1.5208
2.2743,62.3612,0.8718,10.338,3.9572,1.5485
2.123,70.3716,0.9132,9.3497,3.7856,1.2193
2.3483,67.6501,0.907,9.4453,4.4268,1.3177
2.1954,56.4,0.8925,10.4367,3.633,1.8943
2.1205,68.8677,0.8836,9.6643,4.0116,1.2722
2.2021,63.2659,0.9047,9.2161,3.7865,1.5047
2.2902,71.5014,0.8767,10.2695,3.6496,1.1818
2.1195,69.2337,0.9044,9.4971,3.9335,1.259
2.3998,60.215,0.869,10.0697,3.7861,1.6607
2.3855,58.4697,0.8758,9.8894,3.8381,1.7616
2.0801,71.8257,0.9071,9.306,3.9136,1.1714
2.2737,59.9212,0.889,9.8694,3.5399,1.6771
2.1386,60.8641,0.8519,10.5001,3.594,1.6255
2.3986,67.2858,0.888,9.8494,4.5306,1.3319
2.2441,60.0123,0.8804,9.9715,3.7742,1.672
2.3765,62.3247,0.884,9.853,4.2393,1.5503
2.4157,63.0616,0.8663,10.2276,3.8598,1.5145
2.2047,68.6875,0.881,9.9907,3.8399,1.2788
2.095,68.2535,0.8863,9.574,3.783,1.2949
2.2036,64.3226,0.8859,9.8088,3.5848,1.456
2.3023,69.1818,0.9012,9.5731,4.5195,1.2609
2.1697,73.1919,0.8951,9.5891,4.0445,1.129
2.3313,58.3398,0.877,9.9909,3.8829,1.7695
2.3181,64.6411,0.8664,10.3597,3.8261,1.4418
2.3926,67.9649,0.8998,9.5948,4.5288,1.3057
2.4396,58.0789,0.8762,10.0812,3.6414,1.7856
2.2076,61.0102,0.8978,9.9124,3.8293,1.6177
2.2017,59.233,0.9027,9.8581,3.6206,1.7163
2.2325,61.2931,0.8668,10.3836,3.7815,1.6028
2.3401,59.5202,0.8658,10.0908,3.9648,1.6998
2.3846,68.6864,0.8802,9.8988,4.2993,1.2789
2.1462,64.0577,0.8799,9.9712,3.8002,1.468
2.4552,67.009,0.8639,10.2797,4.2678,1.3427
2.1497,69.4571,0.898,9.4241,3.9277,1.2511
2.2949,61.8507,0.878,10.0803,3.9251,1.5741
2.2651,62.8629,0.8785,9.9676,3.9646,1.524
2.1678,64.9597,0.9026,9.7688,4.0244,1.4278
2.1146,62.6258,0.9178,9.7683,3.8242,1.5355
2.107,64.3384,0.865,10.2297,3.5734,1.4553
2.3481,68.7498,0.8997,9.5074,4.5203,1.2765
2.1415,68.8937,0.8841,9.604,4.0486,1.2713
2.2215,65.0432,0.8845,9.8166,3.9944,1.4242
2.1975,66.6238,0.9046,9.0767,3.987,1.3581
2.3409,61.4447,0.8731,10.2415,3.6378,1.5949
2.3491,63.3225,0.8889,9.782,4.1395,1.5021
2.2213,67.0501,0.9089,9.1975,4.1326,1.3411
2.2066,60.003,0.9081,9.9623,3.7615,1.6725
2.1713,57.6407,0.8593,11.2119,3.7401,1.813
2.1799,67.4193,0.8956,9.4311,4.0451,1.3267
2.3907,60.2642,0.8628,10.3478,4.2159,1.658
2.2263,61.7618,0.8762,10.1542,3.7897,1.5786
2.1918,65.1826,0.8926,9.4041,3.9192,1.4182
2.3955,63.9754,0.8721,10.0271,4.3738,1.4718
2.3117,59.5704,0.8848,9.6339,3.8303,1.6969
2.3728,55.6077,0.8658,10.6303,3.8626,1.9493
2.226,73.9045,0.8955,9.7947,3.6685,1.1078
2.1002,71.8157,0.8957,9.558,3.9454,1.1717
2.3014,71.7409,0.9068,9.2291,4.5709,1.1741
2.273,58.5766,0.8814,9.7946,3.7514,1.7552
2.2672,62.1481,0.8728,10.1431,3.8512,1.5591
2.317,57.0274,0.8651,10.4489,3.6007,1.8525
2.3521,63.3672,0.8594,10.6398,3.6365,1.5
2.2951,68.9873,0.8907,9.7201,4.4623,1.2679
2.3601,61.27,0.865,10.3528,4.2224,1.604
2.2437,61.0518,0.8744,10.2678,3.606,1.6155
2.1782,62.5579,0.9045,9.7615,3.8457,1.5388
2.0862,65.667,0.8971,9.5432,3.5866,1.3975
2.3121,69.7732,0.91,9.3858,4.4862,1.24
2.13,64.3906,0.9,9.8315,3.6848,1.453
2.1467,63.6127,0.9036,9.5952,3.8449,1.4885
2.1845,69.5833,0.92,9.0461,3.9439,1.2466
2.3269,60.3604,0.8849,9.6114,3.8904,1.6527
2.4024,57.9136,0.8702,10.3149,3.8916,1.7958
2.152,67.5486,0.8812,9.7462,3.9288,1.3217
2.182,64.8259,0.8831,9.9321,3.8216,1.4337
2.1731,69.5233,0.8927,9.5909,4.0911,1.2487
2.1494,61.4045,0.9079,9.6198,3.6446,1.597
2.1143,63.5509,0.8829,9.8495,3.6743,1.4914
2.1465,64.0256,0.8847,9.9869,3.6727,1.4695
2.0697,61.945,0.8898,10.1915,3.6463,1.5693
2.2204,61.3102,0.8919,9.9868,3.8887,1.6019
2.1663,70.2285,0.8926,9.6143,4.1194,1.2242
2.268,58.8967,0.8625,10.7128,3.8393,1.7361
2.3351,61.707,0.868,10.252,4.0023,1.5814
2.1075,70.6794,0.9223,9.2873,4.1871,1.2089
2.1457,72.3473,0.881,9.8168,4.0574,1.1549
2.3644,67.9191,0.8949,9.5562,4.418,1.3075
2.129,62.0713,0.8714,10.1245,3.5454,1.563
2.3194,62.6256,0.884,9.8421,4.0076,1.5355
