Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.41E+00,3.12E+01,9.34E-01,8.85E+00,4.52E+00,6.695720849
2.45E+00,2.95E+01,9.47E-01,8.51E+00,4.38E+00,7.636127173
2.46E+00,2.57E+01,9.47E-01,9.28E+00,3.85E+00,10.57945639
2.38E+00,3.05E+01,9.58E-01,9.04E+00,4.13E+00,7.089739667
2.44E+00,2.99E+01,9.56E-01,8.67E+00,4.70E+00,7.398113932
2.49E+00,3.14E+01,9.38E-01,8.72E+00,4.58E+00,6.638081677
2.49E+00,2.98E+01,9.33E-01,8.64E+00,4.50E+00,7.468670134
2.31E+00,2.81E+01,9.55E-01,9.29E+00,4.29E+00,8.590844031
2.43E+00,2.67E+01,9.50E-01,9.57E+00,4.10E+00,9.658434466
2.47E+00,3.32E+01,9.45E-01,8.38E+00,4.37E+00,5.836637413
2.46E+00,2.99E+01,9.60E-01,8.81E+00,4.92E+00,7.43371529
2.40E+00,2.10E+01,9.42E-01,1.01E+01,3.86E+00,17.74692436
2.45E+00,2.96E+01,9.35E-01,9.11E+00,4.19E+00,7.606622168
2.39E+00,3.27E+01,9.50E-01,8.41E+00,4.36E+00,6.034574007
2.48E+00,2.51E+01,9.36E-01,1.00E+01,3.60E+00,11.2816127
2.39E+00,2.81E+01,9.54E-01,9.09E+00,4.45E+00,8.594731376
2.49E+00,2.82E+01,9.28E-01,9.11E+00,4.31E+00,8.480058847
2.40E+00,2.51E+01,9.56E-01,9.63E+00,3.80E+00,11.28413206
2.41E+00,2.93E+01,9.58E-01,8.82E+00,4.32E+00,7.774218947
2.40E+00,2.59E+01,9.56E-01,9.17E+00,4.54E+00,10.44446187
2.40E+00,3.18E+01,9.36E-01,8.78E+00,4.54E+00,6.434819313
2.39E+00,2.76E+01,9.48E-01,9.17E+00,4.36E+00,8.97669032
2.38E+00,3.19E+01,9.56E-01,8.72E+00,4.62E+00,6.38333028
2.49E+00,2.67E+01,9.32E-01,9.54E+00,4.12E+00,9.659200499
2.41E+00,3.15E+01,9.36E-01,8.89E+00,4.60E+00,6.582951264
2.49E+00,2.95E+01,9.22E-01,9.18E+00,4.58E+00,7.650792944
2.47E+00,3.25E+01,9.43E-01,8.74E+00,4.29E+00,6.131625894
2.42E+00,2.44E+01,9.57E-01,9.40E+00,4.15E+00,12.11612767
2.49E+00,2.93E+01,9.30E-01,8.83E+00,4.55E+00,7.737378559
2.45E+00,2.90E+01,9.43E-01,8.79E+00,4.20E+00,7.958689864
2.38E+00,2.78E+01,9.46E-01,9.11E+00,4.10E+00,8.780430525
2.35E+00,3.03E+01,9.51E-01,8.52E+00,4.41E+00,7.160647549
2.40E+00,3.22E+01,9.57E-01,8.72E+00,4.94E+00,6.251190495
2.37E+00,2.17E+01,9.54E-01,1.00E+01,4.20E+00,16.25734719
