# p1, resistivity (kohm.cm)
   24.7788,   11.6200
   24.1331,   12.4122
   26.8610,    9.5396
   27.5279,    8.9950
   25.8000,   10.5193
   24.5059,   11.9449
   25.6937,   10.6261
   24.4762,   11.9810
   25.6374,   10.6834
   26.9291,    9.4817
   25.7843,   10.5350
   25.9407,   10.3806
   24.2163,   12.3054
   26.7939,    9.5972
   25.5366,   10.7871
   25.3006,   11.0362
   26.0454,   10.2791
   24.9503,   11.4228
   24.4619,   11.9985
   26.4984,    9.8577
   24.8664,   11.5187
   27.1979,    9.2582
   28.1374,    8.5387
   23.9747,   12.6194
   26.8441,    9.5540
   25.1017,   11.2532
   25.7408,   10.5786
   26.2146,   10.1185
   27.3140,    9.1642
   24.9173,   11.4604
   23.6774,   13.0235
   24.9975,   11.3696
   26.9446,    9.4685
   27.6597,    8.8931
   24.7685,   11.6321
   24.1175,   12.4323
   24.5200,   11.9277
   24.5909,   11.8422
   28.0971,    8.5677
   26.6502,    9.7226
   23.7924,   12.8648
   24.5736,   11.8629
   23.9776,   12.6156
   23.8012,   12.8528
   24.4560,   12.0058
   27.1153,    9.3260
   27.3097,    9.1677
   24.8736,   11.5104
   26.1709,   10.1596
   25.8097,   10.5097
   26.2354,   10.0990
   25.5378,   10.7859
   23.7300,   12.9506
   27.6134,    8.9287
   27.3775,    9.1134
   27.1457,    9.3009
   24.7604,   11.6414
   25.9020,   10.4184
   26.8566,    9.5434
   28.1997,    8.4940
   26.4689,    9.8844
   28.1005,    8.5652
   25.0390,   11.3230
   27.5966,    8.9416
   24.3733,   12.1079
   26.5800,    9.7847
   27.6415,    8.9071
   25.2941,   11.0432
   23.6766,   13.0246
   27.2903,    9.1833
   25.5303,   10.7936
   26.5132,    9.8444
   27.7851,    8.7979
   25.8658,   10.4541
   25.5090,   10.8158
   27.0184,    9.4065
   23.7751,   12.8885
   25.3976,   10.9327
   25.4594,   10.8676
   25.3547,   10.9783
   26.3124,   10.0274
   25.7870,   10.5323
   27.1946,    9.2609
   26.2532,   10.0824
   26.8470,    9.5515
   27.0571,    9.3742
   24.7868,   11.6107
   25.5197,   10.8046
   24.4641,   11.9959
   24.4900,   11.9642
   26.5485,    9.8128
   27.0078,    9.4153
   23.8452,   12.7930
   27.2878,    9.1853
   25.0243,   11.3394
   27.8364,    8.7593
   27.2796,    9.1919
   24.8499,   11.5376
   27.1222,    9.3203
   26.6557,    9.7177
   27.8887,    8.7203
   27.7121,    8.8531
   25.0118,   11.3535
   24.5989,   11.8325
   27.6442,    8.9050
   24.4672,   11.9920
   25.6042,   10.7173
   26.6250,    9.7447
   26.2205,   10.1129
   26.6596,    9.7143
   27.8256,    8.7674
   27.0588,    9.3728
   25.3954,   10.9351
   25.8449,   10.4748
   25.0362,   11.3261
   26.3977,    9.9490
   24.9043,   11.4752
   26.3056,   10.0337
   27.1750,    9.2769
   25.2979,   11.0390
   25.9464,   10.3750
   27.8641,    8.7386
   25.6738,   10.6463
   23.7238,   12.9591
   25.5118,   10.8129
   25.4804,   10.8456
   23.8242,   12.8215
   27.1925,    9.2626
   24.8244,   11.5670
   25.9652,   10.3566
   24.2604,   12.2495
   26.0848,   10.2414
   26.5526,    9.8091
   27.5290,    8.9941
   27.7026,    8.8603
   24.6049,   11.8253
   26.5437,    9.8171
   27.3192,    9.1600
   25.8588,   10.4610
   26.4065,    9.9410
   27.1239,    9.3189
   28.0986,    8.5666
   23.7945,   12.8619
   25.7742,   10.5451
   25.1386,   11.2125
   27.0626,    9.3696
   24.7058,   11.7055
   26.5772,    9.7872
   25.9015,   10.4189
   27.4958,    9.0201
   24.8077,   11.5864
   24.7538,   11.6492
   28.2217,    8.4784
   28.0977,    8.5672
   26.7550,    9.6309
   27.1694,    9.2815
   27.0392,    9.3891
   26.0112,   10.3121
   24.0511,   12.5188
   26.3730,    9.9717
   25.1550,   11.1944
   25.7558,   10.5636
   26.8692,    9.5326
   26.8145,    9.5795
   26.5309,    9.8285
   27.5649,    8.9662
   26.4419,    9.9088
   26.3443,    9.9980
   24.0433,   12.5291
   25.1900,   11.1561
   26.2953,   10.0432
   26.0150,   10.3084
   28.1442,    8.5338
   24.3159,   12.1796
   27.2585,    9.2089
   23.9270,   12.6830
   25.4201,   10.9090
   24.3135,   12.1825
   25.4113,   10.9182
   23.7041,   12.9864
   27.1930,    9.2622
   27.8985,    8.7131
   27.8492,    8.7498
   27.6102,    8.9311
   27.4546,    9.0524
   25.1442,   11.2063
   25.4561,   10.8710
   27.8135,    8.7765
   25.2449,   11.0963
   25.5561,   10.7669
   26.3260,   10.0149
   25.9557,   10.3659
   26.1321,   10.1963
   25.9118,   10.4088
   25.1510,   11.1988
   23.8241,   12.8217
   25.3487,   10.9846
   25.4858,   10.8400
   24.3085,   12.1887
   28.0283,    8.6176
   24.1257,   12.4217
   26.1261,   10.2020
   24.2516,   12.2606
   25.8205,   10.4989
   23.7787,   12.8836
   24.3737,   12.1074
   28.2046,    8.4906
   25.0860,   11.2706
   23.7796,   12.8824
   27.5882,    8.9482
   27.6206,    8.9231
   25.0331,   11.3295
   25.4433,   10.8845
   27.6559,    8.8960
   27.7855,    8.7976
   27.7848,    8.7980
   25.4449,   10.8828
   27.0192,    9.4058
   25.6377,   10.6830
   26.6692,    9.7058
   26.2723,   10.0646
   25.0839,   11.2729
   26.5847,    9.7805
   28.2368,    8.4677
   26.7727,    9.6156
   25.6426,   10.6780
   26.5371,    9.8229
   24.9938,   11.3737
   25.8598,   10.4600
   24.5891,   11.8444
   27.2086,    9.2494
   27.8095,    8.7795
   27.1028,    9.3363
   28.2307,    8.4720
   25.2270,   11.1157
   25.1984,   11.1469
   25.7631,   10.5562
   26.9441,    9.4689
   25.0765,   11.2811
   28.1541,    8.5266
   26.0702,   10.2553
   25.3883,   10.9425
   26.7614,    9.6253
   24.0971,   12.4588
   25.1879,   11.1584
   24.4112,   12.0609
   23.6744,   13.0277
   23.7332,   12.9461
   26.0761,   10.2497
   27.7158,    8.8503
   26.9784,    9.4400
   26.0955,   10.2312
   24.4910,   11.9631
   26.9766,    9.4416
   26.6659,    9.7088
   26.9767,    9.4415
   23.9157,   12.6980
   25.8909,   10.4294
   25.1867,   11.1597
   25.4703,   10.8562
   23.9053,   12.7120
   25.6724,   10.6478
   23.9132,   12.7014
   24.1453,   12.3965
   24.1935,   12.3345
   25.7614,   10.5579
   24.9773,   11.3923
   25.2197,   11.1236
   26.2708,   10.0660
   24.7967,   11.5992
   24.0869,   12.4721
   24.2995,   12.2001
   24.9247,   11.4519
   25.2941,   11.0432
   27.8524,    8.7473
   27.7414,    8.8309
   26.0655,   10.2599
   23.9323,   12.6758
   27.5408,    8.9849
   26.9533,    9.4612
   26.0504,   10.2744
   27.2808,    9.1910
   27.2083,    9.2497
   26.2954,   10.0431
   25.1556,   11.1937
   27.2433,    9.2213
   27.6162,    8.9265
   24.6863,   11.7285
   24.1668,   12.3688
   24.0432,   12.5292
   27.8294,    8.7646
   27.5998,    8.9392
   25.1338,   11.2177
   25.9074,   10.4131
   26.1588,   10.1710
   27.1636,    9.2863
   24.9959,   11.3714
   25.9745,   10.3476
   26.6021,    9.7651
   27.2616,    9.2065
   24.0812,   12.4795
   27.1315,    9.3126
   24.7983,   11.5973
   26.2783,   10.0590
   24.0911,   12.4667
   25.5740,   10.7484
   24.4797,   11.9769
   25.3584,   10.9744
   24.2188,   12.3022
   25.8313,   10.4882
   27.9978,    8.6399
   25.4284,   10.9002
   26.6561,    9.7174
   24.1248,   12.4229
   27.9582,    8.6690
   24.6040,   11.8265
   25.9474,   10.3740
   27.9437,    8.6797
   26.8990,    9.5072
   26.9075,    9.4999
   27.5251,    8.9972
   24.8178,   11.5748
   25.2883,   11.0494
   27.6830,    8.8753
   26.4770,    9.8771
   26.2412,   10.0936
   27.8502,    8.7490
   27.7099,    8.8548
   25.9525,   10.3690
   24.9615,   11.4102
   25.4041,   10.9258
   23.8704,   12.7589
   24.0429,   12.5295
   28.0420,    8.6076
   25.5812,   10.7411
   28.2624,    8.4495
   25.5159,   10.8086
   26.1653,   10.1649
   28.2289,    8.4732
   24.0652,   12.5004
   24.5907,   11.8424
   25.5686,   10.7540
   26.3896,    9.9564
   26.3488,    9.9939
   26.4875,    9.8676
   27.0580,    9.3734
   23.7913,   12.8664
   28.0710,    8.5866
   28.0795,    8.5804
   26.3333,   10.0081
   24.0742,   12.4887
   27.3442,    9.1400
   24.5000,   11.9521
   27.0500,    9.3801
   25.1295,   11.2225
   26.7545,    9.6313
   26.0482,   10.2764
   27.7925,    8.7923
   25.3331,   11.0013
   24.1945,   12.3332
   26.5630,    9.7998
   26.4555,    9.8965
   23.8074,   12.8444
   26.9357,    9.4760
   28.1559,    8.5254
   26.7950,    9.5963
   28.0489,    8.6026
   28.1848,    8.5047
   27.9211,    8.6963
   27.1145,    9.3266
   28.1503,    8.5294
   25.3758,   10.9559
   24.5424,   11.9006
   23.8554,   12.7792
   27.8671,    8.7364
   25.4629,   10.8639
   23.7857,   12.8740
   26.6612,    9.7128
   27.2164,    9.2431
   24.9840,   11.3848
   25.6888,   10.6311
   24.5175,   11.9308
   26.0474,   10.2772
   24.0778,   12.4839
   27.2197,    9.2404
   25.4650,   10.8618
   27.9203,    8.6970
   26.7973,    9.5943
   26.8598,    9.5406
   27.2557,    9.2112
   24.3442,   12.1441
   23.7162,   12.9696
   25.6450,   10.6756
   23.8967,   12.7235
   25.3751,   10.9565
   27.0713,    9.3624
   25.3795,   10.9520
   25.6098,   10.7116
   25.4193,   10.9098
   24.2198,   12.3010
   24.7752,   11.6242
   24.7011,   11.7111
   27.8577,    8.7435
   27.5020,    9.0152
   26.8244,    9.5710
   25.0931,   11.2627
   26.9279,    9.4827
   28.0536,    8.5992
   26.5624,    9.8003
   26.7667,    9.6208
   24.2224,   12.2976
   26.7229,    9.6589
   24.0659,   12.4995
   24.9117,   11.4668
   24.5598,   11.8796
   27.3345,    9.1478
   26.0778,   10.2480
   27.0658,    9.3670
   26.3571,    9.9862
   25.7304,   10.5891
   26.7174,    9.6636
   25.5054,   10.8195
   27.0971,    9.3410
   25.3506,   10.9827
   26.2663,   10.0702
   24.5397,   11.9039
   26.0181,   10.3054
   25.8706,   10.4494
   25.3187,   11.0168
   26.9762,    9.4419
   28.2410,    8.4647
   27.5606,    8.9695
   25.3817,   10.9496
   27.7930,    8.7919
   26.7469,    9.6379
   27.5801,    8.9544
   27.3437,    9.1404
   23.7553,   12.9157
   26.0717,   10.2539
   26.6606,    9.7134
   26.4836,    9.8711
   25.6498,   10.6707
   26.0516,   10.2732
   24.2607,   12.2491
   27.5885,    8.9479
   25.6121,   10.7092
   27.0367,    9.3912
   24.9859,   11.3826
   28.0727,    8.5853
   24.0535,   12.5157
   24.2435,   12.2708
   26.6664,    9.7083
   27.6378,    8.9099
   27.1799,    9.2729
   24.7386,   11.6670
   27.2654,    9.2034
   25.2502,   11.0905
   26.9896,    9.4306
   24.2321,   12.2853
   25.3026,   11.0340
   27.0490,    9.3810
   25.3407,   10.9933
   27.0235,    9.4022
   26.3819,    9.9635
   23.7985,   12.8565
   25.7099,   10.6098
   26.4574,    9.8947
   24.7938,   11.6026
   24.7596,   11.6424
   27.0678,    9.3653
   26.1195,   10.2083
   25.8098,   10.5096
   25.1456,   11.2047
   25.1493,   11.2007
   26.1062,   10.2210
   24.1072,   12.4457
   23.8536,   12.7817
   25.1348,   11.2167
   26.2845,   10.0533
   26.9838,    9.4355
   24.3808,   12.0985
   27.2994,    9.1759
   25.6562,   10.6642
   27.4831,    9.0300
   25.6150,   10.7063
   27.5917,    8.9454
   24.5147,   11.9342
   27.3976,    9.0975
   27.0689,    9.3643
   26.3276,   10.0134
   23.9922,   12.5964
   24.5152,   11.9336
   27.1265,    9.3167
   26.3474,    9.9951
   27.5169,    9.0035
   26.7111,    9.6691
   24.7398,   11.6655
   25.7613,   10.5580
   24.6515,   11.7698
   25.2847,   11.0533
   26.0651,   10.2603
   26.3304,   10.0108
   26.0456,   10.2789
   25.2326,   11.1096
   24.9043,   11.4752
   25.0471,   11.3140
   27.7563,    8.8196
   25.6704,   10.6498
   24.8277,   11.5633
   28.2123,    8.4850
   25.4419,   10.8860
   28.0428,    8.6071
   26.8062,    9.5867
   24.8237,   11.5678
   25.9039,   10.4166
   26.2469,   10.0882
   24.6697,   11.7482
   25.6501,   10.6704
   27.3063,    9.1704
   26.2456,   10.0895
   27.4425,    9.0620
   26.3387,   10.0032
   25.8311,   10.4884
   24.3297,   12.1622
   23.8816,   12.7439
   24.0147,   12.5666
   24.5617,   11.8772
   23.8069,   12.8450
   26.0756,   10.2501
   26.6379,    9.7334
   28.1002,    8.5654
   28.1104,    8.5581
   24.7603,   11.6415
   23.7454,   12.9293
   25.1804,   11.1665
   27.9917,    8.6444
   26.7118,    9.6685
   27.4001,    9.0955
   24.2331,   12.2841
   23.9883,   12.6014
   25.6740,   10.6461
   25.7313,   10.5881
   26.4929,    9.8627
   24.6529,   11.7681
   24.5331,   11.9118
   24.9450,   11.4289
   26.0663,   10.2591
   26.2558,   10.0799
   24.7618,   11.6398
   24.1741,   12.3595
   23.6658,   13.0397
   27.0342,    9.3933
   26.5529,    9.8088
   27.7151,    8.8508
   27.0831,    9.3526
   24.1795,   12.3525
   25.0410,   11.3208
   24.7592,   11.6429
   24.8965,   11.4841
   25.2769,   11.0617
   24.8978,   11.4826
   25.9445,   10.3768
   25.1239,   11.2286
   24.2326,   12.2847
   28.0438,    8.6063
   25.1620,   11.1867
   25.8659,   10.4540
   24.5660,   11.8721
   28.1371,    8.5389
   24.0786,   12.4829
   25.5351,   10.7887
   26.5010,    9.8554
   25.6040,   10.7175
   28.2292,    8.4731
   27.8409,    8.7560
   25.8126,   10.5068
   27.7627,    8.8148
   27.3584,    9.1287
   27.0759,    9.3586
   27.3332,    9.1489
   24.2035,   12.3217
   27.1229,    9.3197
   24.8650,   11.5202
   26.8583,    9.5419
   23.6753,   13.0264
   24.3340,   12.1569
   27.9575,    8.6695
   26.3955,    9.9511
   27.6350,    8.9121
   24.8194,   11.5729
   26.0886,   10.2378
   23.7805,   12.8810
   25.1794,   11.1676
   26.0158,   10.3077
   26.4803,    9.8741
   25.0439,   11.3175
   25.0386,   11.3234
   26.9667,    9.4499
   27.1279,    9.3155
   24.8322,   11.5580
   24.0579,   12.5100
   27.2612,    9.2068
   27.6271,    8.9181
   27.6857,    8.8732
   24.8913,   11.4901
   24.8018,   11.5933
   25.6039,   10.7177
   24.7609,   11.6409
   26.1761,   10.1547
   24.5209,   11.9267
   28.0246,    8.6203
   25.2953,   11.0418
   26.1397,   10.1891
   24.9237,   11.4531
   27.7731,    8.8069
   24.9217,   11.4554
   26.2879,   10.0501
   24.2229,   12.2970
   25.5394,   10.7841
   26.1508,   10.1786
   24.8180,   11.5745
   26.5168,    9.8412
   27.3882,    9.1049
   25.0791,   11.2782
   26.0747,   10.2511
   26.7392,    9.6447
   26.5819,    9.7830
   26.7603,    9.6263
   24.3988,   12.0763
   24.1586,   12.3793
   26.4065,    9.9410
   24.2468,   12.2667
   26.9512,    9.4629
   26.2319,   10.1023
   24.5072,   11.9432
   27.8036,    8.7839
   25.4661,   10.8606
   25.8380,   10.4815
   24.1607,   12.3766
   27.7681,    8.8107
   25.3144,   11.0213
   26.7578,    9.6285
   27.8934,    8.7169
   26.1805,   10.1505
   24.6195,   11.8079
   27.1640,    9.2859
   24.6825,   11.7330
   24.4806,   11.9757
   27.4016,    9.0943
   26.8131,    9.5807
   26.5249,    9.8339
   25.6031,   10.7185
   27.2529,    9.2135
   24.1829,   12.3481
   27.3403,    9.1431
   24.0135,   12.5682
   27.9827,    8.6510
   24.3378,   12.1521
   26.9375,    9.4745
