# Infill density,Matrix resistivity (kohm.cm)
22.0088,15.43047135
21.632,16.14280238
22.7167,14.21880239
22.5767,14.44632213
22.2614,14.98013602
22.2326,15.03043276
21.8329,15.75673929
21.4519,16.50165874
21.5488,16.30704494
22.1449,15.18523556
21.756,15.90278793
21.8572,15.7110257
22.519,14.54175813
21.7431,15.92749552
21.4347,16.53658375
22.3283,14.8643144
22.6324,14.35512255
22.7999,14.08624101
22.1185,15.23232521
22.0868,15.28917172
22.2709,14.96360295
22.0249,15.40113839
22.6032,14.40281978
21.9775,15.48774888
21.5383,16.32795879
22.3557,14.81728264
22.7554,14.15689997
22.473,14.61855259
21.6234,16.1596589
22.7308,14.19619973
22.5635,14.46806816
21.7616,15.89208086
21.805,15.809483
22.2418,15.01433699
21.4871,16.4305439
22.7883,14.1046066
22.1144,15.23965892
22.1706,15.1396134
22.6268,14.36425075
22.3783,14.7786654
22.6983,14.24838305
22.2402,15.01713432
22.2152,15.06094883
21.4585,16.48828799
22.102,15.26187265
21.5786,16.24791768
22.8295,14.03954668
22.1578,15.16230881
22.4508,14.65584202
22.0401,15.37352532
21.4615,16.48221599
22.8116,14.06775507
22.4739,14.61704399
21.9492,15.53982409
22.4811,14.60498402
21.7708,15.8745152
22.1408,15.19253374
22.0403,15.37316251
22.0554,15.34580891
21.5991,16.20743784
21.3694,16.6702381
22.4465,14.663082
21.5633,16.27823289
22.33,14.86138957
21.8524,15.72003905
22.4019,14.73850763
21.9901,15.46465144
22.5,14.57340072
22.4689,14.62542817
21.8453,15.73338617
21.8095,15.80095724
22.4744,14.61620599
22.368,14.7962457
22.3255,14.86913375
22.3343,14.85399548
21.6112,16.18361903
21.6149,16.17634655
22.4889,14.59193664
21.8037,15.81194734
22.5268,14.52879921
21.9789,15.48517982
21.3768,16.65500702
22.5397,14.50740684
21.8035,15.81232652
22.0028,15.44142531
22.1515,15.17349881
21.4237,16.55898032
22.7425,14.17748707
22.4588,14.64238722
22.5929,14.41970381
22.6081,14.39479846
21.6094,16.18715885
22.3727,14.78821956
22.8627,13.9874615
22.3015,14.91054314
21.972,15.49784806
22.8032,14.08102317
21.5684,16.26811798
22.4927,14.58558685
22.7377,14.18515938
21.9065,15.61891826
22.0389,15.37570247
22.8198,14.05482177
21.8031,15.81308493
22.3171,14.8836065
21.905,15.62170822
22.0961,15.27245991
22.87,13.97604967
21.6847,16.04010678
22.0342,15.38423432
22.3205,14.87774582
22.3691,14.79436663
21.5757,16.2536569
21.4563,16.49274302
21.4323,16.54146622
22.1873,15.11008298
21.8239,15.7737232
21.8324,15.75768209
21.4286,16.5489978
21.3161,16.78059127
22.7643,14.14272377
21.6509,16.10585399
22.5369,14.51204594
21.7973,15.82408826
22.6278,14.36262005
22.1001,15.26528085
21.9396,15.55755157
21.4486,16.5083505
22.7637,14.14367877
21.8725,15.68234967
21.5808,16.24356592
21.4872,16.43034256
21.9248,15.58494363
22.6824,14.2740224
22.8303,14.03828804
21.9403,15.55625787
22.3152,14.88688316
21.6815,16.04631331
22.8695,13.97683083
21.535,16.3345404
21.3301,16.75149476
22.4032,14.73630052
22.0631,15.33188976
21.6479,16.11170995
22.1982,15.09085733
22.7404,14.18084291
22.0465,15.36192198
21.9078,15.61650093
21.2988,16.81665587
21.7874,15.84289758
22.0067,15.43430385
21.442,16.52174678
22.0821,15.29762838
21.3878,16.63240652
21.7675,15.88081242
22.2649,14.97404155
22.4141,14.71781516
21.776,15.86460025
22.1566,15.16443924
22.2465,15.00612459
21.4875,16.42973854
22.7225,14.20949802
22.7489,14.16726745
21.945,15.54757596
22.2322,15.03113319
22.153,15.17083335
22.0769,15.30699323
21.3473,16.71585579
21.8711,15.68497021
21.4857,16.43336315
22.0134,15.42208157
21.4574,16.49051527
22.2369,15.02290637
22.8117,14.06759723
21.648,16.1115147
21.4754,16.45412809
22.2995,14.91400208
22.0604,15.33676824
21.7477,15.91867816
21.8774,15.6731832
22.6637,14.30426955
21.6711,16.06651058
21.8708,15.68553184
22.3515,14.82447674
21.5212,16.36210864
22.3614,14.80752799
