# Infill density,Matrix resistivity (kohm.cm)
33.6874,5.567305531
38.0534,4.259184051
32.6053,5.990120247
33.56,5.614614355
32.7407,5.934505871
37.9945,4.273497342
34.7906,5.182519695
38.0921,4.249820444
34.7783,5.186577444
33.6432,5.583647746
32.7809,5.918149862
33.5217,5.628960034
33.601,5.599320802
38.2942,4.201441992
32.645,5.973729407
38.3879,4.179304606
38.0897,4.250400193
32.7772,5.91965231
37.8222,4.315803884
34.8119,5.175504627
33.5202,5.629523045
38.0164,4.268166625
38.0663,4.256059257
33.6902,5.566272805
33.4873,5.641893986
32.8142,5.904654695
38.3697,4.183590168
37.9909,4.274374623
32.7841,5.91685093
38.1897,4.226348613
33.6014,5.599171918
34.7413,5.198813763
32.7905,5.914254405
33.5217,5.628960034
38.2721,4.2066901
32.106,6.202435313
38.2043,4.222854942
33.6907,5.566088421
38.4893,4.155553434
32.6393,5.976078425
34.7143,5.207771565
38.1181,4.243547764
38.0568,4.258360113
32.6852,5.957203688
37.9175,4.292323178
38.3679,4.184014389
38.0549,4.258820518
33.4653,5.650190151
32.7598,5.926725905
33.4696,5.648567124
38.1511,4.235607171
32.796,5.912024445
38.228,4.217193342
38.2911,4.202177532
38.211,4.221253197
37.9615,4.281549671
32.8233,5.900975221
37.9816,4.276642241
32.1682,6.175348038
32.6798,5.95941939
32.8091,5.906718391
32.1546,6.181254791
37.9158,4.29274028
32.5745,6.002885203
33.5505,5.618167332
38.4796,4.157816322
37.9849,4.275837387
33.6113,5.595489029
32.6974,5.952202598
33.5131,5.63218916
32.698,5.951956812
33.6274,5.58950779
33.4759,5.646190521
33.6218,5.591587083
32.7867,5.915795876
32.8083,5.90704221
34.8032,5.178368136
38.132,4.240200247
33.5237,5.628209491
37.9758,4.27805741
38.3818,4.180740208
37.9403,4.286735243
32.781,5.918109264
38.2948,4.201299652
33.5016,5.636511718
33.6672,5.574764826
38.1974,4.224505496
34.7025,5.21169406
38.4096,4.174203887
32.6836,5.957860058
32.1103,6.20055673
34.7455,5.197422499
38.4897,4.15546016
33.6521,5.580351075
38.1769,4.229415289
